Revision	EventDate-Long	Total TD Mapped To Methods	TDdensity	Contribution of NEW	Contribution of DELETED	Contribution of MODIFIED	Has Refactorings
0d78ff0bd687b37711405963bd36e3ae02e4f520	1378693075000	501	0.8406040268				Yes, Refactoring Type: [RENAME_PACKAGE, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS], Involved Classes After: [[(zeppelin-core/src/main/java/com/nflabs/zeppelin/Zeppelin.java,com.nflabs.zeppelin.Zeppelin), (zeppelin-core/src/main/java/com/nflabs/zeppelin/conf/ZeppelinConfiguration.java,com.nflabs.zeppelin.conf.ZeppelinConfiguration), (zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/AbortException.java,com.nflabs.zeppelin.driver.AbortException), (zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/Driver.java,com.nflabs.zeppelin.driver.Driver), (zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/DriverManager.java,com.nflabs.zeppelin.driver.DriverManager), (zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/Progress.java,com.nflabs.zeppelin.driver.Progress), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/Job.java,com.nflabs.zeppelin.job.Job), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobHistoryManager.java,com.nflabs.zeppelin.job.JobHistoryManager), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobId.java,com.nflabs.zeppelin.job.JobId), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobInfo.java,com.nflabs.zeppelin.job.JobInfo), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobResult.java,com.nflabs.zeppelin.job.JobResult), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobRunner.java,com.nflabs.zeppelin.job.JobRunner), (zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobRunnerListener.java,com.nflabs.zeppelin.job.JobRunnerListener), (zeppelin-core/src/main/java/com/nflabs/zeppelin/visualizer/Visualizer.java,com.nflabs.zeppelin.visualizer.Visualizer), (zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/App.java,com.nflabs.zeppelin.zql.App), (zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/Zql.java,com.nflabs.zeppelin.zql.Zql), (zeppelin-core/src/test/java/com/nflabs/zeppelin/DummyDriver.java,com.nflabs.zeppelin.DummyDriver), (zeppelin-core/src/test/java/com/nflabs/zeppelin/ZeppelinTest.java,com.nflabs.zeppelin.ZeppelinTest), (zeppelin-core/src/test/java/com/nflabs/zeppelin/job/JobIdTest.java,com.nflabs.zeppelin.job.JobIdTest), (zeppelin-core/src/test/java/com/nflabs/zeppelin/zql/ZqlTest.java,com.nflabs.zeppelin.zql.ZqlTest), (zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZeppelinServer.java,com.nflabs.zeppelin.server.ZeppelinServer)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/Zeppelin.java,com.nflabs.zeppelin.Zeppelin)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/conf/ZeppelinConfiguration.java,com.nflabs.zeppelin.conf.ZeppelinConfiguration)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/AbortException.java,com.nflabs.zeppelin.driver.AbortException)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/Driver.java,com.nflabs.zeppelin.driver.Driver)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/DriverManager.java,com.nflabs.zeppelin.driver.DriverManager)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/driver/Progress.java,com.nflabs.zeppelin.driver.Progress)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/Job.java,com.nflabs.zeppelin.job.Job)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobHistoryManager.java,com.nflabs.zeppelin.job.JobHistoryManager)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobId.java,com.nflabs.zeppelin.job.JobId)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobInfo.java,com.nflabs.zeppelin.job.JobInfo)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobResult.java,com.nflabs.zeppelin.job.JobResult)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobRunner.java,com.nflabs.zeppelin.job.JobRunner)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/job/JobRunnerListener.java,com.nflabs.zeppelin.job.JobRunnerListener)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/visualizer/Visualizer.java,com.nflabs.zeppelin.visualizer.Visualizer)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/App.java,com.nflabs.zeppelin.zql.App)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/Zql.java,com.nflabs.zeppelin.zql.Zql)], [(zeppelin-core/src/test/java/com/nflabs/zeppelin/DummyDriver.java,com.nflabs.zeppelin.DummyDriver)], [(zeppelin-core/src/test/java/com/nflabs/zeppelin/ZeppelinTest.java,com.nflabs.zeppelin.ZeppelinTest)], [(zeppelin-core/src/test/java/com/nflabs/zeppelin/job/JobIdTest.java,com.nflabs.zeppelin.job.JobIdTest)], [(zeppelin-core/src/test/java/com/nflabs/zeppelin/zql/ZqlTest.java,com.nflabs.zeppelin.zql.ZqlTest)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZeppelinServer.java,com.nflabs.zeppelin.server.ZeppelinServer)]]
0537aead6d93b0c5afd880c62671a18536e866ad	1378711232000	501	0.8406040268				No
8736fb21e67360266ec2a43d5db772ca2596b40a	1378805553000	501	0.8406040268		0.005679756938		No
555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3	1381931832000	335	0.3837342497	0.0809149605	0.2980098345	-0.8357945722	Yes, Refactoring Type: [CHANGE_RETURN_TYPE], Involved Classes After: [[(zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/Z.java,com.nflabs.zeppelin.zql.Z)]]
d5c31bb03d941f15ea5ddef52f9979d56139d366	1381932055000	593	0.9785478548	0.1548670219			Yes, Refactoring Type: [MOVE_RENAME_CLASS], Involved Classes After: [[(zeppelin-core/src/test/java/com/nflabs/zeppelin/zql/ZTest.java,com.nflabs.zeppelin.zql.ZTest)]]
d7d3da4df45c5a3be0f77d7732af316724ee5df0	1381932160000	335	0.5528052805		-0.09230446854		No
835121ab3fab6195fd93aa84135c9ce60498da32	1381988072000	430	0.7543859649	-0.08030880662		0.281889491	No
96c792c295a4bd9ce6cfd0d46f6512b1446b5000	1381988890000	430	0.7426597582	-0.007858187135		-0.003868019574	No
98bc5f32c42b047e6d5f92c044eac7c631abf124	1381997506000	520	0.65	0.0723402418	-0.1814544851	0.01645448513	Yes, Refactoring Type: [RENAME_VARIABLE, RENAME_PARAMETER, ADD_PARAMETER, ADD_PARAMETER, ADD_PARAMETER, ADD_PARAMETER, ADD_PARAMETER, MOVE_OPERATION], Involved Classes After: [[(zeppelin-core/src/main/java/com/nflabs/zeppelin/zql/L.java,com.nflabs.zeppelin.zql.L)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)], [(zeppelin-core/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util)]]
a5d05b423f1ff5aec90bde97832cbc961f4ddce5	1381999014000	520	0.6914893617				No
